style,role,occasion,description
bohemian,man,a casual date,"The man is dressed in a simple, yet stylish, bohemian style. His clothing consists of a light-colored, button-
up shirt, paired with a pair of dark-wash jeans. The jeans are tucked into his black dress shoes, which are
adorned with a pair of silver buckles. A brown leather belt completes the look, and a plaid scarf is draped
around his neck. The man's hair is styled in a messy, yet well-groomed manner. He wears a pair of round-framed
glasses, and a small, silver necklace. The overall effect is a casual, yet stylish, look that is perfect for a
casual date."
bohemian,woman,a halloween party,"The woman is wearing a bohemian-style dress in a deep purple hue. The dress features a lace-up neckline and a
tie-back detail. The dress is adorned with intricate embroidery and tassels. The dress is paired with a wide-
brimmed hat in a matching shade of purple. The hat is adorned with a single flower. The woman is wearing a
pair of purple-colored earrings and a necklace with a purple stone. The dress is accessorized with a purple
scarf that is knotted at the neck. The scarf is adorned with a single flower. The woman is wearing a pair of
purple-colored ankle boots. The dress is accessorized with a purple scarf that is knotted at the neck. The
scarf is adorned with a single flower. The woman is wearing a pair of purple-colored ankle boots."
classic,man,a bar,"<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>"
classic,woman,a work / office event,"The woman is dressed in a classic business attire, consisting of a tailored skirt suit in a neutral color,
paired with a blouse and a pair of high heels. The blouse is tucked in, and the skirt is tailored to fit the
body. The outfit is completed with a scarf, a handbag, and a pair of earrings."
gothic,man,a work / office event,"The man is dressed in a black dress shirt with a white collar and cuffs. The shirt is tucked into a pair of
black dress pants. The pants are worn with a pair of black dress shoes. The man is wearing a black dress
jacket with a pair of black dress pants. The jacket is worn with a pair of black dress shoes. The man is
wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress
pants. The man is wearing a black dress jacket with a pair of black dress pants. The jacket is worn with a
pair of black dress shoes. The man is wearing a black dress shirt with a pair of black dress pants. The shirt
is tucked into a pair of black dress pants. The man is wearing a black dress jacket with a pair of black dress
pants. The jacket is worn with a pair of black dress shoes. The man is wearing a black dress shirt with a pair
of black dress pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black dress
jacket with a pair of black dress pants. The jacket is worn with a pair of black dress shoes. The man is
wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress
pants. The man is wearing a black dress jacket with a pair of black dress pants. The jacket is worn with a
pair of black dress shoes. The man is wearing a black dress shirt with a pair of black dress pants. The shirt
is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress
pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a
pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black
dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is
wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress
pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a
pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt
is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress
pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a
pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black
dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is
wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress
pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a
pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt
is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress
pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a
pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black
dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is
wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress
pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a
pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt
is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress
pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black dress shirt with a
pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is wearing a black
dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress pants. The man is
wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a pair of black dress
pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt is tucked into a
pair of black dress pants. The man is wearing a black dress shirt with a pair of black dress pants. The shirt
is tucked into a pair of black dress pants. The man is wearing a black dress"
gothic,woman,a fancy date,"The woman is dressed in a long, dark, velvet cloak with a hood that is adorned with a silver chain. The cloak
is fastened at the neck with a silver clasp. The woman is wearing a black lace dress with long sleeves and a
high waist. She is also wearing a pair of black leather boots with silver buckles. The woman's hair is styled
in a gothic updo. She is wearing a pair of silver earrings and a silver necklace. The woman is also wearing a
black lace scarf that is knotted at the neck.

The woman's makeup is gothic and dramatic. She has a dark, smoky eye makeup that is accented with a silver
eyeliner. Her lips are painted a deep red. She also has a dark, gothic hairstyle that is styled in a high
ponytail. The woman's nails are painted a deep red. She is wearing a pair of silver cuff bracelets.

The woman's outfit is a combination of gothic and modern elements. The long, dark, velvet cloak is a classic
gothic garment, but the black lace dress and modern silver jewelry are more contemporary. The woman's hair is
styled in a modern updo, but her makeup is gothic. The woman's nails are painted a modern red, but her
clothing is gothic. The silver cuff bracelets are a modern touch.

The woman's outfit is a perfect combination of gothic and modern elements. The woman's gothic clothing is a
classic and timeless look that is still popular today. The woman's modern makeup and contemporary hairstyle
are a perfect match for the gothic look. The woman's nails are painted a modern red, but her clothing is
gothic. The silver cuff bracelets are a modern touch."
sporty,man,a city tour,"A man in a city tour can wear a sporty outfit that is both stylish and comfortable. The outfit should include
a pair of running shoes, a windproof jacket, a fleece or wool sweater, and a pair of cargo pants. The jacket
should be a lightweight, water-resistant material, such as a nylon or polyester blend. The fleece or wool
sweater should be a close-fitting, layered garment that can be worn as a base layer. Cargo pants are a great
choice for a city tour, as they are versatile and can be dressed up or down. The running shoes should be
comfortable and supportive, and the windproof jacket should be a lightweight, water-resistant material. The
fleece or wool sweater should be a close-fitting, layered garment that can be worn as a base layer. Cargo
pants are a great choice for a city tour, as they are versatile and can be dressed up or down."
sporty,woman,a work / office event,"<>
The woman is wearing a white blouse with a black blazer, black pants, and black heels. The blazer is tailored
to fit her body and has a single button. The pants are slim-fitting and have a high waist. The heels are black
and have a low heel. The outfit is completed with a black scarf and a black handbag.

The woman is dressed in a sporty style that is appropriate for a work or office event. The white blouse is
tailored to fit her body and has a single button. The black blazer is tailored to fit her body and has a high
waist. The black pants are slim-fitting and have a high waist. The black heels are black and have a low heel.
The black scarf is used to accentuate the neckline and the black handbag is used to complete the look."
casual,man,a fancy date,"<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>
<>"
casual,woman,a tropical vacation,"A woman in a tropical vacation can wear a light, airy, and comfortable outfit. A cotton or linen blouse,
paired with a pair of khaki or beige pants, is a great choice. A straw hat, a pair of sunglasses, and a pair
of sandals are perfect for a day spent outdoors. A light, breathable fabric, such as cotton or linen, is ideal
for a tropical climate. A pair of khaki or beige pants, a cotton or linen blouse, and a straw hat are a great
choice for a day spent outdoors. A pair of sunglasses and a pair of sandals are perfect for a day spent
outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for a casual
outing. A pair of sunglasses and a pair of sandals are perfect for a day spent outdoors. A pair of khaki or
beige pants, a cotton or linen blouse, and a straw hat are a great choice for a day spent outdoors. A pair of
sunglasses and a pair of sandals are perfect for a day spent outdoors.

A woman can also wear a pair of khaki or beige pants, a cotton or linen blouse, and a straw hat for"
