style,role,occasion,description
bohemian,"a small-framed, delicate woman",a work / office event,"A bohemian style outfit would be perfect for a small-framed, delicate woman
attending a work or office event. The outfit should feature flowy and feminine pieces that accentuate her
curves and add a touch of elegance to the professional setting. Here are some ideas for a bohemian outfit that
would be suitable for this occasion:

1. A pastel-colored midi dress with a floral print would be a great choice. Look for a dress with a cinched
waist and a full skirt that falls just above the knee. Pair it with strappy sandals or nude heels.
2. A flowy blouse with lace detailing and a cinched waist would also be a great option. Pair it with high-
waisted trousers or a pencil skirt for a more polished look. Finish off the outfit with statement earrings and
a clutch.
3. A maxi dress with a floral or geometric print would be a showstopper. Look for a dress with a V-neckline
and a full skirt that falls just below the ankles. Pair it with block heels or sandals.
4. A crop top with a flowy skirt would be a fun and playful option. Look for a crop top with a tie-dye or
floral print and a full skirt with a cinched waist. Finish off the outfit with chunky sneakers or sandals.

Remember to accessorize your outfit with statement jewelry, a crossbody bag, and a chic scarf or clutch. Have
fun experimenting with different styles and find what works best for you!"
bohemian,"a short, curvy man with a muscular build",a casual date,"A bohemian style outfit for a short, curvy man with a muscular build
would consist of a flowy, light-colored shirt made of soft fabric such as chiffon or lace. The shirt should
fit loosely around the shoulders and chest to accentuate his muscular build. Pair the shirt with a high-
waisted, flowing skirt that falls just above the knee. The skirt should be made of a similar lightweight
fabric and have a floral or geometric print to add some personality to the outfit. Finish off the look with a
pair of strappy sandals and a statement necklace or bracelet to add some edge to the overall bohemian vibe."
classic,"a small-framed, delicate woman",a play / concert,"A classic style outfit for a small-framed, delicate woman attending a play or
concert could include a flowy midi dress in a neutral color such as black, white, or navy. The dress should
have a fitted bodice and a full skirt that falls just above the knee. To accessorize, consider adding a
statement necklace or simple gold jewelry, along with a pair of strappy heels. A clutch bag in a complementary
color would also be a great addition. This outfit exudes elegance and sophistication while still being
comfortable and practical for a night out."
classic,"a short, curvy man with a muscular build",a work / office event,"For a short, curvy man with a muscular build attending a work/office
event, I would recommend a classic and timeless outfit that showcases his best features while maintaining a
professional appearance. Here's my suggestion:

* A tailored navy blue suit with a single button jacket and slim lapels. This will accentuate his broad
shoulders and give him a sharp, polished look.
* A crisp white collared shirt with a classic collar and fitted sleeves. This will add a touch of elegance and
sophistication to the outfit.
* A silk tie in a subtle pattern or color, such as a light gray or navy blue. This will add a pop of color to
the outfit without being too flashy.
* A pair of black leather oxford shoes with a low profile. These will complement the suit and tie while also
being comfortable for everyday wear.
* A silver watch with a leather strap. This will add a touch of luxury and sophistication to the outfit
without being too overpowering.
* A leather belt in a dark brown or black color to cinch the waist and accentuate his curves.
* A pair of well-tailored trousers in a darker shade of navy blue or charcoal gray. This will add depth and
texture to the outfit while also being practical for a work environment.

Overall, this classic and timeless outfit will showcase the man's best features while maintaining a
professional appearance suitable for a work/office event."
gothic,"a small-framed, delicate woman",a beach,"A gothic-style fashion outfit for a small-framed, delicate woman at a beach would feature
flowing, dark fabrics with intricate patterns and embellishments. The outfit could include a black or navy
midi dress with lace detailing or a floral print, paired with black or navy ankle boots with a pointed toe and
a block heel. For accessories, a statement necklace with a cross or skull pendant and a pair of black tights
with a fishnet pattern would complete the look. The outfit should be layered to accommodate the cooler
temperatures of the beach, with a light jacket or cardigan made of a soft, plush fabric like velvet or
corduroy. Overall, the gothic style adds a touch of mystery and drama to the outfit, making it perfect for a
small-framed, delicate woman looking to make a statement on the beach."
gothic,"a short, curvy man with a muscular build",a business lunch,"For a short, curvy man with a muscular build attending a business lunch, I
would suggest a gothic-inspired outfit that exudes confidence and sophistication. Here's my recommendation:

* Start with a tailored black suit made of high-quality fabric such as wool or velvet. Look for a slim fit
that accentuates your curves and enhances your muscular build.
* Pair the suit with a crisp white shirt that has a classic collar and a fitted waist. Make sure the shirt is
made of breathable material such as cotton or linen to keep you comfortable throughout the day.
* Add a touch of edginess to the outfit with a black leather belt that cinches at the waist and accentuates
your curves. Choose a belt with a buckle that is both functional and stylish.
* For shoes, choose a pair of black brogues with a pointed toe and a low heel. These shoes will add a touch of
elegance to your outfit while still being practical for a business lunch.
* To accessorize, add a statement watch with a black strap and silver hardware. This will add a touch of
luxury to your outfit without being too flashy.
* Finally, complete the look with a pair of black leather gloves that add a touch of sophistication and
protect your hands from the cold.

Overall, this gothic-inspired outfit is perfect for a short, curvy man with a muscular build attending a
business lunch. It exudes confidence, sophistication, and style, making it the perfect choice for any
occasion."
sporty,"a small-framed, delicate woman",a beach,"A sporty style outfit perfect for a small-framed, delicate woman at the beach would include a
lightweight crop top made of breathable fabric like linen or cotton, paired with high-waisted leggings that
provide coverage while also accentuating her legs. To complete the look, add a pair of sneakers with a chunky
sole for added comfort and support while walking on sand. Accessorize with a statement necklace or bracelet to
add some personality to the outfit, and don't forget a wide-brimmed sun hat to protect your face from the sun.
With this outfit, you'll feel confident and comfortable while enjoying the beach activities."
sporty,"a short, curvy man with a muscular build",a play / concert,"A sporty style outfit for a short, curvy man with a muscular build at a
play or concert could include a sleek black tank top paired with high-waisted athletic shorts. To add some
edge to the look, consider adding a pair of black sneakers with a bold logo or pattern. For accessories, a
statement watch and a pair of sunglasses with a sporty design would complete the look. Don't forget to wear
your hair styled in a sleek, low ponytail to keep it out of your face while you dance the night away!"
casual,"a small-framed, delicate woman",a halloween party,"A small-framed, delicate woman would look stunning in a casual Halloween outfit that
showcases her unique style. For this occasion, I suggest pairing a black or navy blue crop top with high-
waisted denim shorts or a flowy midi skirt. Add some statement jewelry, such as a chunky necklace or hoop
earrings, to elevate the look. Finish off with a pair of comfortable sneakers or booties, and you're good to
go! Don't forget to accessorize with a spooky headband or mask to complete the look."
casual,"a short, curvy man with a muscular build",a gala / exhibition opening,"A stylish and casual outfit for a short, curvy man with a
muscular build at a gala or exhibition opening could include a tailored navy blue suit paired with a crisp
white dress shirt and black leather dress shoes. The suit should fit well and accentuate his curves and muscle
tone. To add some personality to the look, he could wear a bold tie in a complementary color such as red or
orange. For accessories, he could wear a silver watch and cufflinks, along with a pair of statement earrings.
Finally, to complete the look, he could carry a sleek black leather briefcase or clutch."
