style,role,occasion,description
bohemian,"a small-framed, delicate woman",a work / office event,"For a small-framed, delicate woman looking for a fashion outfit suitable for a
work/office event, a bohemian style would be perfect. This style is characterized by flowing skirts, intricate
patterns, and unique details.

For the top half of the outfit, a sleeveless crop top made of lightweight, flowy material such as chiffon or
organza would be ideal. The top could feature a V-neckline with a floral or geometric pattern embroidered on
the chest. To add some height and dimension to the outfit, a pair of high-heeled sandals or ankle boots with a
block heel would complement the look.

For the bottom half of the outfit, a midi skirt made of the same lightweight material as the top would be
perfect. The skirt could feature a wraparound waistband with a bow or tie detail, adding a touch of femininity
to the outfit. To accessorize, a statement necklace with a pendant or charm would add some sparkle to the
outfit, while a pair of delicate earrings and a matching bracelet would complete the look.

Overall, this bohemian style outfit would be perfect for a small-framed, delicate woman looking for something
unique and eye-catching for a work/office event."
bohemian,"a short, curvy man with a muscular build",a casual date,"For a short, curvy man with a muscular build, a bohemian-style outfit
would be perfect for a casual date. Here's a description of an outfit that would work well:

Top: A flowy, lightweight crop top made of soft, breathable material like cotton or linen. It should have a
relaxed fit and feature a V-neckline with thin, adjustable straps. Look for a top with intricate embroidery or
patterns to add some personality to the outfit.

Bottoms: Pair the crop top with a high-waisted, flowy skirt made of the same material as the top. The skirt
should be knee-length or just above the knee, and have a full, A-line silhouette. Look for a skirt with a fun,
bohemian print or pattern to add some character to the outfit.

Shoes: Finish off the outfit with a pair of comfortable, casual shoes like sandals or espadrilles. Choose a
pair in a neutral color like beige or brown to complement the outfit without taking away from its bohemian
vibe.

Accessories: Keep it simple and minimal with a few statement pieces of jewelry. A long, flowing necklace made
of beads or crystals would be a great addition, as would a pair of delicate hoop earrings. Don't forget to
bring along a stylish bag or backpack to carry your essentials.

Overall, this bohemian-style outfit is perfect for a short, curvy man with a muscular build who wants to look
effortlessly cool and confident on a casual date."
classic,"a small-framed, delicate woman",a play / concert,"A classic style outfit for a small-framed, delicate woman attending a play or
concert could include a pastel-colored dress with a fitted bodice and full skirt, paired with a lightweight
cardigan or jacket. Accessories could include a delicate necklace or choker, a pair of simple earrings, and a
small clutch or purse. The outfit should be comfortable and easy to move around in, while still maintaining a
polished and elegant appearance."
classic,"a short, curvy man with a muscular build",a work / office event,"For a short, curvy man with a muscular build attending a work/office
event, a classic style outfit would be perfect. Here's a suggestion:

A navy blue tailored suit with a single button jacket and matching trousers would be a great choice. The slim
fit of the suit would accentuate his muscular build, while the navy color would convey professionalism and
sophistication. To add a pop of color, he could wear a crisp white dress shirt with a classic collar and a
subtle pattern.

For footwear, black leather oxford shoes would be a great option. They are both comfortable and stylish, and
they would complement the navy suit perfectly. As for accessories, a silver watch and cufflinks would add a
touch of elegance to the outfit.

To complete the look, he could wear a silk tie in a subtle pattern like stripes or checks. This would add a
bit of personality to the outfit without being too flashy. Finally, he could wear a classic pocket square in a
coordinating color like burgundy or navy to add a pop of color to the outfit.

Overall, this classic style outfit would be perfect for a work/office event, as it conveys professionalism,
sophistication, and style."
gothic,"a small-framed, delicate woman",a beach,"A small-framed, delicate woman would look stunning in a gothic-style outfit for a beach
setting. The outfit should feature a flowing, lightweight dress with a cinched waist and a full skirt that
billows in the breeze. A cropped leather jacket or a denim vest could be added for extra warmth and protection
from the sun. Accessories like a wide-brimmed hat, sunglasses, and a statement necklace can add a touch of
glamour and sophistication to the outfit. A pair of strappy sandals or espadrilles would complete the look."
gothic,"a short, curvy man with a muscular build",a business lunch,"For a short, curvy man with a muscular build attending a business lunch, a
gothic-style outfit would be perfect. Here's a suggestion:

Start with a black tailored suit that fits well and accentuates his curves. A slim-fit suit with a single
button and a peak lapel would be ideal. Pair it with a crisp white dress shirt with a classic collar and a
subtle pattern.

For shoes, choose a pair of black brogues with a pointed toe and a small heel. This will add a touch of
elegance and sophistication to the outfit.

To accessorize, add a silver watch with a leather strap and a simple silver cufflink. A black bow tie with a
subtle pattern would also be a great addition.

Finally, complete the look with a black leather belt that cinches at the waist and accentuates his curves. Add
a pair of black leather gloves to give the outfit a more polished look.

Overall, this gothic-style outfit is perfect for a business lunch and will showcase the man's muscular build
and short, curvy frame."
sporty,"a small-framed, delicate woman",a beach,"For a small-framed, delicate woman looking for a sporty style outfit for a beach day, consider
a flowy, lightweight sundress made of a mix of cotton and synthetic fibers. Look for dresses with a V-neckline
and sleeveless arms for a flattering look. Pair the dress with a pair of sandals or espadrilles for a casual,
comfortable feel. Accessorize with a wide-brimmed sun hat and sunglasses for protection from the sun. Don't
forget a light jacket or cardigan for cooler evenings."
sporty,"a short, curvy man with a muscular build",a play / concert,"For a short, curvy man with a muscular build attending a play or concert, a
sporty style outfit would be perfect. A sleeveless crop top paired with high-waisted leggings would accentuate
his curves and show off his toned arms. To add some height, a pair of platform sneakers or boots could be
worn. Accessories such as a statement watch and a leather jacket could complete the look. The key is to
balance out the curves with bold, athletic pieces that highlight his physique."
casual,"a small-framed, delicate woman",a halloween party,"A small-framed, delicate woman would look stunning in a casual Halloween outfit
featuring a black velvet mini skirt with a fitted waistband and a flowing black velvet top with a plunging
neckline. To complete the look, she could pair the outfit with a pair of black strappy heels and a statement
silver necklace. She could also add a black faux leather jacket to the outfit for an edgy touch. The overall
look would be chic, trendy, and perfect for a Halloween party."
casual,"a short, curvy man with a muscular build",a gala / exhibition opening,"For a short, curvy man with a muscular build attending a gala or
exhibition opening, a casual style outfit would be perfect. A well-fitted suit in a dark navy blue or charcoal
gray color would be a great choice, paired with a crisp white button down shirt and a silk tie in a
complementary color such as burgundy or navy. A pair of classic leather oxford shoes in black or brown would
complete the look. To accentuate his muscular build, he could wear a tailored suit jacket with peak lapels and
a slim fit. Additionally, a statement watch or cufflinks could add a touch of elegance to the outfit. Overall,
this casual yet sophisticated style would make him stand out at the event while still feeling comfortable and
confident."
bohemian,"a small-framed, delicate woman",a bar,"For a small-framed, delicate woman looking for a bohemian style outfit to wear at a bar,
consider this fashion outfit:

Top: A flowy, light-colored crop top made of soft, breathable material such as linen or cotton. The top should
fit snugly around the bust and shoulders, with a loose fit around the waist and hips. Look for a top with
intricate embroidery or floral patterns to add a touch of bohemian charm.

Bottoms: Pair the crop top with a high-waisted, flowy skirt made of the same material as the top. The skirt
should be knee-length or just above the knee, with a full, A-line silhouette. Look for a skirt with a fun,
playful pattern or a bold floral print to add some personality to the outfit.

Footwear: Finish off the look with a pair of strappy, platform sandals in a complementary color. The sandals
should be comfortable and easy to walk in, with a casual, bohemian vibe.

Accessories: To add some bohemian flair to the outfit, consider adding a statement necklace made of natural
materials such as wood or stone, or a pair of dainty hoop earrings. A flowing, tie-dye scarf wrapped around
your neck and shoulders can also add a touch of bohemian charm.

Overall, this fashion outfit is perfect for a small-framed, delicate woman looking for a bohemian style outfit
to wear at a bar. The flowy, light-colored crop top and skirt, combined with comfortable, strappy sandals and
fun, playful accessories, will make you feel confident and stylish."
